A,B
18,0.003394949
737,0.002316956
118,0.001589909
1719,0.001585624
790,0.001509178
136,0.001504117
143,0.001466014
40,0.001337546
1619,0.00116471
725,0.001071419
849,0.001070203
1179,0.001053966
401,0.00103743
128,0.00103171
77,0.001030933
27,0.001024494
1191,0.001024435
1401,0.001023482
4415,0.001019632
135,9.99E-04
1164,9.85E-04
918,9.81E-04
1621,9.38E-04
726,9.16E-04
550,9.16E-04
301,9.10E-04
34,9.10E-04
1909,9.02E-04
1029,9.00E-04
28,8.88E-04
59,8.86E-04
1247,8.81E-04
717,8.57E-04
1,8.48E-04
1753,8.29E-04
4969,8.28E-04
735,8.23E-04
843,8.20E-04
31,7.98E-04
1918,7.90E-04
1398,7.90E-04
546,7.74E-04
2227,7.72E-04
1606,7.72E-04
1623,7.71E-04
4416,7.69E-04
418,7.68E-04
738,7.63E-04
5038,7.53E-04
64,7.44E-04
1274,7.35E-04
1577,7.27E-04
791,7.27E-04
388,7.20E-04
780,7.19E-04
74,7.08E-04
433,7.07E-04
49,7.04E-04
19,7.00E-04
44,6.94E-04
3685,6.91E-04
30,6.84E-04
1396,6.81E-04
1620,6.80E-04
0,6.73E-04
398,6.70E-04
329,6.66E-04
1178,6.64E-04
715,6.54E-04
549,6.50E-04
395,6.49E-04
125,6.48E-04
90,6.43E-04
2066,6.35E-04
1516,6.34E-04
1409,6.24E-04
563,6.08E-04
1815,6.08E-04
1613,6.05E-04
4282,6.04E-04
381,6.04E-04
1075,6.01E-04
2236,5.97E-04
103,5.90E-04
1471,5.88E-04
1617,5.81E-04
663,5.77E-04
4161,5.76E-04
1894,5.69E-04
2512,5.68E-04
1712,5.65E-04
1749,5.58E-04
1910,5.57E-04
1903,5.53E-04
81,5.53E-04
1399,5.52E-04
12,5.47E-04
1173,5.47E-04
722,5.45E-04
295,5.44E-04
1190,5.43E-04
130,5.42E-04
1177,5.40E-04
1935,5.35E-04
850,5.34E-04
2375,5.30E-04
551,5.30E-04
860,5.26E-04
2528,5.23E-04
2118,5.22E-04
102,5.20E-04
2969,5.19E-04
848,5.18E-04
1390,5.15E-04
449,5.14E-04
1440,5.11E-04
1754,5.09E-04
776,5.09E-04
169,5.04E-04
1756,5.03E-04
104,5.02E-04
29,4.97E-04
3655,4.92E-04
1432,4.89E-04
1111,4.88E-04
48,4.87E-04
1635,4.86E-04
210,4.86E-04
793,4.83E-04
2120,4.80E-04
4931,4.79E-04
854,4.78E-04
1405,4.77E-04
723,4.75E-04
639,4.74E-04
555,4.72E-04
586,4.70E-04
96,4.69E-04
5958,4.68E-04
431,4.65E-04
4412,4.65E-04
443,4.54E-04
4414,4.53E-04
35,4.51E-04
844,4.48E-04
385,4.48E-04
1304,4.47E-04
1024,4.46E-04
1020,4.45E-04
1975,4.44E-04
999,4.44E-04
2643,4.44E-04
2028,4.43E-04
3281,4.42E-04
733,4.40E-04
66,4.40E-04
883,4.38E-04
1576,4.37E-04
1288,4.36E-04
1908,4.36E-04
1716,4.32E-04
61,4.32E-04
1163,4.32E-04
1403,4.31E-04
993,4.28E-04
374,4.27E-04
438,4.26E-04
879,4.25E-04
923,4.25E-04
1023,4.24E-04
187,4.23E-04
1172,4.21E-04
1905,4.21E-04
5144,4.20E-04
101,4.18E-04
2239,4.11E-04
21,4.11E-04
3249,4.10E-04
5952,4.09E-04
6653,4.08E-04
3505,4.07E-04
83,4.07E-04
6871,4.06E-04
1268,4.05E-04
18955,4.04E-04
1755,4.03E-04
1892,4.02E-04
2215,4.01E-04
72,4.00E-04
689,4.00E-04
9412,4.00E-04
69,3.99E-04
138,3.98E-04
1014,3.97E-04
312,3.97E-04
975,3.97E-04
1411,3.92E-04
1181,3.92E-04
1738,3.91E-04
107,3.91E-04
863,3.91E-04
58,3.91E-04
1438,3.90E-04
446,3.90E-04
973,3.89E-04
447,3.88E-04
426,3.86E-04
429,3.85E-04
127,3.85E-04
1574,3.83E-04
1751,3.83E-04
1914,3.82E-04
1429,3.82E-04
2025,3.81E-04
402,3.78E-04
8363,3.77E-04
1392,3.75E-04
2228,3.73E-04
4037,3.73E-04
965,3.70E-04
576,3.69E-04
2656,3.68E-04
3420,3.65E-04
51,3.65E-04
65,3.65E-04
1129,3.64E-04
2144,3.63E-04
2464,3.62E-04
368,3.61E-04
46,3.59E-04
664,3.58E-04
43,3.58E-04
440,3.57E-04
3284,3.57E-04
453,3.56E-04
93,3.53E-04
333,3.53E-04
225,3.51E-04
2063,3.50E-04
141,3.49E-04
697,3.49E-04
1185,3.49E-04
233,3.45E-04
92,3.45E-04
100,3.45E-04
1521,3.44E-04
421,3.44E-04
728,3.44E-04
588,3.43E-04
50,3.42E-04
681,3.42E-04
3502,3.40E-04
4162,3.40E-04
4565,3.38E-04
54,3.37E-04
634,3.37E-04
165,3.36E-04
420,3.34E-04
13,3.31E-04
382,3.30E-04
394,3.30E-04
78,3.28E-04
4120,3.28E-04
24,3.28E-04
1312,3.27E-04
1108,3.27E-04
63,3.27E-04
888,3.25E-04
10,3.24E-04
1255,3.23E-04
719,3.22E-04
2444,3.19E-04
5934,3.16E-04
4045,3.16E-04
85,3.15E-04
22,3.15E-04
79,3.12E-04
195,3.12E-04
1315,3.11E-04
369,3.09E-04
2062,3.09E-04
5250,3.08E-04
1776,3.07E-04
33,3.06E-04
1207,3.06E-04
2636,3.06E-04
1400,3.05E-04
55,3.05E-04
6509,3.04E-04
2059,3.04E-04
730,3.02E-04
11240,3.02E-04
5199,3.01E-04
786,3.00E-04
45,3.00E-04
2650,3.00E-04
14,2.97E-04
2008,2.97E-04
14552,2.96E-04
1472,2.96E-04
1476,2.96E-04
2218,2.96E-04
4454,2.95E-04
2244,2.94E-04
408,2.94E-04
2956,2.93E-04
53,2.93E-04
789,2.93E-04
1323,2.93E-04
117,2.93E-04
67,2.92E-04
112,2.92E-04
3410,2.92E-04
37,2.91E-04
4046,2.91E-04
6,2.91E-04
1580,2.90E-04
2113,2.90E-04
1911,2.89E-04
645,2.88E-04
3174,2.88E-04
997,2.86E-04
20,2.85E-04
1747,2.84E-04
4096,2.84E-04
289,2.84E-04
556,2.83E-04
4862,2.82E-04
2864,2.82E-04
1434,2.82E-04
296,2.82E-04
686,2.80E-04
1256,2.79E-04
319,2.78E-04
71,2.77E-04
783,2.77E-04
1309,2.77E-04
68,2.77E-04
5386,2.76E-04
2318,2.76E-04
4055,2.76E-04
1817,2.75E-04
2685,2.75E-04
2042,2.75E-04
2065,2.74E-04
2757,2.74E-04
3540,2.73E-04
3428,2.73E-04
3321,2.72E-04
71383,2.72E-04
1895,2.72E-04
375,2.72E-04
4170,2.71E-04
299,2.71E-04
390,2.70E-04
4558,2.70E-04
4451,2.70E-04
140,2.69E-04
5,2.69E-04
122,2.68E-04
2896,2.67E-04
751,2.65E-04
2035,2.65E-04
2461,2.65E-04
766,2.65E-04
729,2.65E-04
2714,2.65E-04
2,2.64E-04
1437,2.64E-04
763,2.64E-04
2644,2.63E-04
11744,2.63E-04
97,2.63E-04
684,2.63E-04
2052,2.62E-04
383,2.61E-04
2115,2.61E-04
2255,2.61E-04
2229,2.60E-04
699,2.59E-04
2032,2.58E-04
410,2.58E-04
853,2.58E-04
427,2.58E-04
320,2.56E-04
452,2.55E-04
5142,2.55E-04
26,2.54E-04
3264,2.53E-04
534,2.52E-04
3899,2.52E-04
73,2.52E-04
2694,2.52E-04
411,2.51E-04
105,2.51E-04
1629,2.50E-04
4123,2.48E-04
724,2.47E-04
409,2.47E-04
2248,2.47E-04
637,2.46E-04
432,2.46E-04
1778,2.46E-04
