C,B,A
buck,callwild,0.007727154
dogs,callwild,0.002532789
thornton,callwild,0.00218936
myself,defoe-robinson-103.txt,0.00165909
spitz,callwild,0.001395181
sled,callwild,0.001352252
francois,callwild,0.001287859
friday,defoe-robinson-103.txt,0.001051136
trail,callwild,8.80E-04
john,callwild,8.59E-04
perrault,callwild,8.37E-04
hal,callwild,7.94E-04
team,callwild,7.30E-04
thoughts,defoe-robinson-103.txt,6.31E-04
sol,callwild,6.22E-04
ice,callwild,6.01E-04
leks,callwild,6.01E-04
traces,callwild,6.01E-04
around,callwild,5.58E-04
dave,callwild,5.37E-04
mates,callwild,4.72E-04
mercedes,callwild,4.51E-04
dawson,callwild,4.29E-04
whip,callwild,4.29E-04
throat,callwild,4.08E-04
board,defoe-robinson-103.txt,4.03E-04
charles,callwild,3.86E-04
driver,callwild,3.86E-04
forth,callwild,3.86E-04
hans,callwild,3.86E-04
huskies,callwild,3.86E-04
leap,callwild,3.86E-04
towards,defoe-robinson-103.txt,3.81E-04
viz,defoe-robinson-103.txt,3.81E-04
corn,defoe-robinson-103.txt,3.52E-04
harness,callwild,3.43E-04
pete,callwild,3.43E-04
afterwards,defoe-robinson-103.txt,3.35E-04
voyage,defoe-robinson-103.txt,3.35E-04
later,callwild,3.22E-04
powder,defoe-robinson-103.txt,3.12E-04
providence,defoe-robinson-103.txt,3.12E-04
dat,callwild,3.01E-04
labor,defoe-robinson-103.txt,2.95E-04
billee,callwild,2.79E-04
pike,callwild,2.79E-04
believe,defoe-robinson-103.txt,2.67E-04
deliverance,defoe-robinson-103.txt,2.61E-04
curly,callwild,2.58E-04
husky,callwild,2.58E-04
joe,callwild,2.58E-04
movement,callwild,2.58E-04
muscles,callwild,2.58E-04
sweater,callwild,2.58E-04
coast,defoe-robinson-103.txt,2.39E-04
bull,callwild,2.36E-04
snarling,callwild,2.36E-04
yeehats,callwild,2.36E-04
england,defoe-robinson-103.txt,2.33E-04
sail,defoe-robinson-103.txt,2.33E-04
shall,defoe-robinson-103.txt,2.27E-04
frost,callwild,2.15E-04
heem,callwild,2.15E-04
lash,callwild,2.15E-04
matthewson,callwild,2.15E-04
moose,callwild,2.15E-04
goat,defoe-robinson-103.txt,2.05E-04
storm,defoe-robinson-103.txt,1.99E-04
brazils,defoe-robinson-103.txt,1.93E-04
purpose,defoe-robinson-103.txt,1.93E-04
bristling,callwild,1.93E-04
eh,callwild,1.93E-04
hairy,callwild,1.93E-04
staggered,callwild,1.93E-04
watched,callwild,1.93E-04
dreadful,defoe-robinson-103.txt,1.87E-04
fired,defoe-robinson-103.txt,1.87E-04
habitation,defoe-robinson-103.txt,1.87E-04
round,defoe-robinson-103.txt,1.87E-04
wreck,defoe-robinson-103.txt,1.87E-04
length,defoe-robinson-103.txt,1.82E-04
perfectly,defoe-robinson-103.txt,1.82E-04
xury,defoe-robinson-103.txt,1.82E-04
difficulty,defoe-robinson-103.txt,1.76E-04
goats,defoe-robinson-103.txt,1.76E-04
human,defoe-robinson-103.txt,1.76E-04
plantation,defoe-robinson-103.txt,1.76E-04
clubs,callwild,1.72E-04
crate,callwild,1.72E-04
darkness,callwild,1.72E-04
fang,callwild,1.72E-04
growled,callwild,1.72E-04
manuel,callwild,1.72E-04
nest,callwild,1.72E-04
rabbit,callwild,1.72E-04
ration,callwild,1.72E-04
runners,callwild,1.72E-04
saloon,callwild,1.72E-04
song,callwild,1.72E-04
sounding,callwild,1.72E-04
sounds,callwild,1.72E-04
southland,callwild,1.72E-04
swung,callwild,1.72E-04
trip,callwild,1.72E-04
am,defoe-robinson-103.txt,1.70E-04
delivered,defoe-robinson-103.txt,1.70E-04
frighted,defoe-robinson-103.txt,1.70E-04
canoe,defoe-robinson-103.txt,1.65E-04
venture,defoe-robinson-103.txt,1.65E-04
circumstances,defoe-robinson-103.txt,1.59E-04
consider,defoe-robinson-103.txt,1.59E-04
mean,defoe-robinson-103.txt,1.59E-04
ordered,defoe-robinson-103.txt,1.59E-04
prisoners,defoe-robinson-103.txt,1.59E-04
shoot,defoe-robinson-103.txt,1.59E-04
accordingly,defoe-robinson-103.txt,1.53E-04
design,defoe-robinson-103.txt,1.53E-04
entirely,defoe-robinson-103.txt,1.53E-04
guide,defoe-robinson-103.txt,1.53E-04
sand,defoe-robinson-103.txt,1.53E-04
tobacco,defoe-robinson-103.txt,1.53E-04
ceased,callwild,1.50E-04
chapter,callwild,1.50E-04
ere,callwild,1.50E-04
m,callwild,1.50E-04
natured,callwild,1.50E-04
nig,callwild,1.50E-04
pool,callwild,1.50E-04
skeet,callwild,1.50E-04
street,callwild,1.50E-04
trace,callwild,1.50E-04
yukon,callwild,1.50E-04
cargo,defoe-robinson-103.txt,1.48E-04
obliged,defoe-robinson-103.txt,1.48E-04
soul,defoe-robinson-103.txt,1.48E-04
canoes,defoe-robinson-103.txt,1.42E-04
castle,defoe-robinson-103.txt,1.42E-04
thither,defoe-robinson-103.txt,1.42E-04
whence,defoe-robinson-103.txt,1.42E-04
yes,defoe-robinson-103.txt,1.42E-04
barley,defoe-robinson-103.txt,1.36E-04
comfort,defoe-robinson-103.txt,1.36E-04
distress,defoe-robinson-103.txt,1.36E-04
gotten,defoe-robinson-103.txt,1.36E-04
quantity,defoe-robinson-103.txt,1.36E-04
rice,defoe-robinson-103.txt,1.36E-04
spaniard,defoe-robinson-103.txt,1.36E-04
tame,defoe-robinson-103.txt,1.36E-04
occurred,defoe-robinson-103.txt,1.31E-04
spirits,defoe-robinson-103.txt,1.31E-04
blows,callwild,1.29E-04
breaths,callwild,1.29E-04
bristled,callwild,1.29E-04
dollars,callwild,1.29E-04
drivers,callwild,1.29E-04
effort,callwild,1.29E-04
finally,callwild,1.29E-04
grub,callwild,1.29E-04
keeper,callwild,1.29E-04
lake,callwild,1.29E-04
leader,callwild,1.29E-04
leaped,callwild,1.29E-04
mail,callwild,1.29E-04
miller,callwild,1.29E-04
moonlight,callwild,1.29E-04
mush,callwild,1.29E-04
northland,callwild,1.29E-04
outfit,callwild,1.29E-04
primordial,callwild,1.29E-04
record,callwild,1.29E-04
scotch,callwild,1.29E-04
sister,callwild,1.29E-04
skaguay,callwild,1.29E-04
slashed,callwild,1.29E-04
snarl,callwild,1.29E-04
splendid,callwild,1.29E-04
straining,callwild,1.29E-04
swiftly,callwild,1.29E-04
ve,callwild,1.29E-04
expect,defoe-robinson-103.txt,1.25E-04
observe,defoe-robinson-103.txt,1.25E-04
scarce,defoe-robinson-103.txt,1.25E-04
stock,defoe-robinson-103.txt,1.25E-04
thankful,defoe-robinson-103.txt,1.25E-04
governor,defoe-robinson-103.txt,1.19E-04
happy,defoe-robinson-103.txt,1.19E-04
hopes,defoe-robinson-103.txt,1.19E-04
mate,defoe-robinson-103.txt,1.19E-04
nation,defoe-robinson-103.txt,1.19E-04
negroes,defoe-robinson-103.txt,1.19E-04
provisions,defoe-robinson-103.txt,1.19E-04
seamen,defoe-robinson-103.txt,1.19E-04
send,defoe-robinson-103.txt,1.19E-04
supposed,defoe-robinson-103.txt,1.19E-04
discourse,defoe-robinson-103.txt,1.14E-04
grapes,defoe-robinson-103.txt,1.14E-04
ladder,defoe-robinson-103.txt,1.14E-04
lisbon,defoe-robinson-103.txt,1.14E-04
mentioned,defoe-robinson-103.txt,1.14E-04
number,defoe-robinson-103.txt,1.14E-04
ought,defoe-robinson-103.txt,1.14E-04
stakes,defoe-robinson-103.txt,1.14E-04
